"","X1_2_fill","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"1","undefined","62.176.19.146",1417792321327,"","","HSElist2","","",NA,NA,2014-12-05 07:12:01,1,"CZM1",1,"undefined"
"2","undefined","62.176.19.146",1417792322519,"","","HSElist2","","",NA,NA,2014-12-05 07:12:02,2,"CZM1",1,"undefined"
"3","undefined","62.176.19.146",1417792333453,"","","HSElist2","","",NA,1,2014-12-05 07:12:13,3,"CZM1",1,"undefined"
"4","undefined","62.176.19.146",1417792343919,"","","HSElist2","","",NA,1,2014-12-05 07:12:24,4,"CZM1",1,"undefined"
"5","undefined","62.176.19.146",1417792353643,"","","HSElist2","","",NA,1,2014-12-05 07:12:34,5,"CZM1",1,"undefined"
"6","undefined","62.176.19.146",1417792365260,"","","HSElist2","","",NA,1,2014-12-05 07:12:45,6,"CZM1",1,"undefined"
"7","undefined","62.176.19.146",1417792387242,"","","HSElist2","","",NA,1,2014-12-05 07:13:07,7,"CZM1",1,"undefined"
"8","undefined","62.176.19.146",1417792413306,"","","HSElist2","","",NA,NA,2014-12-05 07:13:33,1,"CGK2",2,"undefined"
"9","undefined","62.176.19.146",1417792414235,"","","HSElist2","","",NA,NA,2014-12-05 07:13:34,2,"CGK2",2,"undefined"
"10","undefined","62.176.19.146",1417792422779,"","","HSElist2","","",NA,1,2014-12-05 07:13:43,3,"CGK2",2,"undefined"
"11","undefined","62.176.19.146",1417792431740,"","","HSElist2","","",NA,1,2014-12-05 07:13:52,4,"CGK2",2,"undefined"
"12","undefined","62.176.19.146",1417792440436,"","","HSElist2","","",NA,1,2014-12-05 07:14:00,5,"CGK2",2,"undefined"
"13","undefined","62.176.19.146",1417792452563,"","","HSElist2","","",NA,1,2014-12-05 07:14:12,6,"CGK2",2,"undefined"
"14","undefined","62.176.19.146",1417792467044,"","","HSElist2","","",NA,1,2014-12-05 07:14:27,7,"CGK2",2,"undefined"
"15","undefined","62.176.19.146",1417792887491,"","","HSElist2","","",NA,NA,2014-12-05 07:21:27,1,"DQC3",3,"undefined"
"16","undefined","62.176.19.146",1417792888458,"","","HSElist2","","",NA,NA,2014-12-05 07:21:29,2,"DQC3",3,"undefined"
"17","undefined","62.176.19.146",1417792898582,"","","HSElist2","","",NA,1,2014-12-05 07:21:39,3,"DQC3",3,"undefined"
"18","undefined","62.176.19.146",1417792908563,"","","HSElist2","","",NA,1,2014-12-05 07:21:49,4,"DQC3",3,"undefined"
"19","undefined","62.176.19.146",1417792917782,"","","HSElist2","","",NA,1,2014-12-05 07:21:58,5,"DQC3",3,"undefined"
"20","undefined","62.176.19.146",1417792929906,"","","HSElist2","","",NA,1,2014-12-05 07:22:10,6,"DQC3",3,"undefined"
"21","undefined","62.176.19.146",1417792938909,"","","HSElist2","","",NA,1,2014-12-05 07:22:19,7,"DQC3",3,"undefined"
"22","","62.176.19.146",1417796233303,"undefined","","HSElist2","","",NA,NA,2014-12-05 08:17:13,1,"RTH4",4,"undefined"
"23","","62.176.19.146",1417796234623,"undefined","","HSElist2","","",NA,NA,2014-12-05 08:17:15,2,"RTH4",4,"undefined"
"24","","62.176.19.146",1417796243299,"undefined","","HSElist2","","",NA,1,2014-12-05 08:17:23,3,"RTH4",4,"undefined"
"25","","62.176.19.146",1417796252793,"undefined","","HSElist2","","",NA,1,2014-12-05 08:17:33,4,"RTH4",4,"undefined"
"26","","62.176.19.146",1417796261516,"undefined","","HSElist2","","",NA,1,2014-12-05 08:17:41,5,"RTH4",4,"undefined"
"27","","62.176.19.146",1417796273647,"undefined","","HSElist2","","",NA,1,2014-12-05 08:17:53,6,"RTH4",4,"undefined"
"28","","62.176.19.146",1417796282632,"undefined","","HSElist2","","",NA,1,2014-12-05 08:18:02,7,"RTH4",4,"undefined"
"29","","62.176.19.146",1417796311261,"1_1_fill","M_Pl","HSElist2","fill","Ошибка!",5713,1,2014-12-05 08:18:31,9,"RTH4",4,"stimulus.ejs"
"30","","62.176.19.146",1417796322273,"2_1_exp","M_Sg","HSElist2","exp","",NA,1,2014-12-05 08:18:42,10,"RTH4",4,"stimulus.ejs"
"31","","62.176.19.146",1417796469978,"undefined","","HSElist2","","",NA,NA,2014-12-05 08:21:10,1,"NPX5",5,"undefined"
"32","","62.176.19.146",1417796471057,"undefined","","HSElist2","","",NA,NA,2014-12-05 08:21:11,2,"NPX5",5,"undefined"
"33","","62.176.19.146",1417796479832,"undefined","","HSElist2","","Ошибка!",6944,1,2014-12-05 08:21:20,3,"NPX5",5,"undefined"
"34","","62.176.19.146",1417796490314,"undefined","","HSElist2","","",NA,1,2014-12-05 08:21:30,4,"NPX5",5,"undefined"
"35","","62.176.19.146",1417796499024,"undefined","","HSElist2","","",NA,1,2014-12-05 08:21:39,5,"NPX5",5,"undefined"
"36","","62.176.19.146",1417796511656,"undefined","","HSElist2","","",NA,1,2014-12-05 08:21:51,6,"NPX5",5,"undefined"
"37","","62.176.19.146",1417796520641,"undefined","","HSElist2","","",NA,1,2014-12-05 08:22:00,7,"NPX5",5,"undefined"
"38","","62.176.19.146",1417796536248,"1_2_fill","NM_Pauc","HSElist2","fill","",NA,1,2014-12-05 08:22:16,9,"NPX5",5,"stimulus.ejs"
"39","","62.176.19.146",1417796566709,"2_2_exp","NM_Pl","HSElist2","exp","",NA,1,2014-12-05 08:22:47,10,"NPX5",5,"stimulus.ejs"
"40","","62.176.19.146",1417796578066,"3_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 08:22:58,11,"NPX5",5,"stimulus.ejs"
"41","","62.176.19.146",1417796588064,"4_2_fill","NM_Pl","HSElist2","fill","",NA,1,2014-12-05 08:23:08,12,"NPX5",5,"stimulus.ejs"
"42","","62.176.19.146",1417796602846,"5_2_exp","NM_Sg","HSElist2","exp","",NA,1,2014-12-05 08:23:23,13,"NPX5",5,"stimulus.ejs"
"43","","62.176.19.146",1417796612561,"6_2_fill","M_Pauc","HSElist2","fill","",NA,1,2014-12-05 08:23:32,14,"NPX5",5,"stimulus.ejs"
"44","","62.176.19.146",1417805005039,"undefined","","HSElist2","","",NA,NA,2014-12-05 10:43:26,1,"OPC6",6,"undefined"
"45","","62.176.19.146",1417805006132,"undefined","","HSElist2","","",NA,NA,2014-12-05 10:43:27,2,"OPC6",6,"undefined"
"46","","62.176.19.146",1417805014705,"undefined","","HSElist2","","Ошибка!",5441,1,2014-12-05 10:43:35,3,"OPC6",6,"undefined"
"47","","62.176.19.146",1417805023687,"undefined","","HSElist2","","Ошибка!",3606,1,2014-12-05 10:43:44,4,"OPC6",6,"undefined"
"48","","62.176.19.146",1417805032389,"undefined","","HSElist2","","Ошибка!",2741,1,2014-12-05 10:43:53,5,"OPC6",6,"undefined"
"49","","62.176.19.146",1417805044028,"undefined","","HSElist2","","Ошибка!",8088,1,2014-12-05 10:44:05,6,"OPC6",6,"undefined"
"50","","62.176.19.146",1417805052517,"undefined","","HSElist2","","Ошибка!",3020,1,2014-12-05 10:44:13,7,"OPC6",6,"undefined"
"51","","62.176.19.146",1417805063139,"1_2_fill","NM_Pauc","HSElist2","fill","Ошибка!",2593,1,2014-12-05 10:44:24,9,"OPC6",6,"stimulus.ejs"
"52","","62.176.19.146",1417805074111,"2_2_exp","NM_Pl","HSElist2","exp","Ошибка!",3779,1,2014-12-05 10:44:34,10,"OPC6",6,"stimulus.ejs"
"53","","62.176.19.146",1417805084960,"3_2_exp","M_Pl","HSElist2","exp","Ошибка!",3259,1,2014-12-05 10:44:45,11,"OPC6",6,"stimulus.ejs"
"54","","62.176.19.146",1417806327004,"undefined","","HSElist2","","",NA,NA,2014-12-05 11:05:28,1,"YGH7",7,"undefined"
"55","","62.176.19.146",1417806349583,"undefined","","HSElist2","","",NA,NA,2014-12-05 11:05:50,2,"YGH7",7,"undefined"
"56","","62.176.19.146",1417806373993,"undefined","","HSElist2","","",NA,NA,2014-12-05 11:06:14,1,"HOB8",8,"undefined"
"57","","62.176.19.146",1417806375636,"undefined","","HSElist2","","",NA,NA,2014-12-05 11:06:16,2,"HOB8",8,"undefined"
"58","","62.176.19.146",1417806385169,"undefined","","HSElist2","","",NA,1,2014-12-05 11:06:26,3,"HOB8",8,"undefined"
"59","","62.176.19.146",1417806394643,"undefined","","HSElist2","","",NA,1,2014-12-05 11:06:35,4,"HOB8",8,"undefined"
"60","","62.176.19.146",1417806403892,"undefined","","HSElist2","","Ошибка!",2784,1,2014-12-05 11:06:44,5,"HOB8",8,"undefined"
"61","","62.176.19.146",1417806416503,"undefined","","HSElist2","","",NA,1,2014-12-05 11:06:57,6,"HOB8",8,"undefined"
"62","","62.176.19.146",1417806425497,"undefined","","HSElist2","","Ошибка!",2872,1,2014-12-05 11:07:06,7,"HOB8",8,"undefined"
"63","","62.176.19.146",1417806436620,"1_2_fill","NM_Pauc","HSElist2","fill","Ошибка!",7231,1,2014-12-05 11:07:17,9,"HOB8",8,"stimulus.ejs"
"64","","62.176.19.146",1417806448088,"2_2_exp","NM_Pl","HSElist2","exp","Ошибка!",5188,1,2014-12-05 11:07:29,10,"HOB8",8,"stimulus.ejs"
"65","","62.176.19.146",1417806459428,"3_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 11:07:40,11,"HOB8",8,"stimulus.ejs"
"66","","62.176.19.146",1417806468905,"4_2_fill","NM_Pl","HSElist2","fill","Ошибка!",4249,1,2014-12-05 11:07:49,12,"HOB8",8,"stimulus.ejs"
"67","","62.176.19.146",1417806480218,"5_2_exp","NM_Sg","HSElist2","exp","Ошибка!",5325,1,2014-12-05 11:08:00,13,"HOB8",8,"stimulus.ejs"
"68","","62.176.19.146",1417806489944,"6_2_fill","M_Pauc","HSElist2","fill","Ошибка!",4401,1,2014-12-05 11:08:10,14,"HOB8",8,"stimulus.ejs"
"69","","62.176.19.146",1417806500173,"7_2_fill","M_Pl","HSElist2","fill","",NA,1,2014-12-05 11:08:21,15,"HOB8",8,"stimulus.ejs"
"70","","62.176.19.146",1417806510504,"8_2_exp","M_Sg","HSElist2","exp","",NA,1,2014-12-05 11:08:31,16,"HOB8",8,"stimulus.ejs"
"71","","62.176.19.146",1417806520926,"9_2_exp","NM_Pl","HSElist2","exp","Ошибка!",5260,1,2014-12-05 11:08:41,17,"HOB8",8,"stimulus.ejs"
"72","","62.176.19.146",1417806531427,"10_2_fill","M_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:08:52,18,"HOB8",8,"stimulus.ejs"
"73","","62.176.19.146",1417806542034,"11_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 11:09:03,19,"HOB8",8,"stimulus.ejs"
"74","","62.176.19.146",1417806551865,"12_2_fill","NM_Pauc","HSElist2","fill","Ошибка!",4290,1,2014-12-05 11:09:12,20,"HOB8",8,"stimulus.ejs"
"75","","62.176.19.146",1417806561797,"13_2_fill","NM_Pl","HSElist2","fill","Ошибка!",4562,1,2014-12-05 11:09:22,21,"HOB8",8,"stimulus.ejs"
"76","","62.176.19.146",1417806573261,"14_2_exp","NM_Sg","HSElist2","exp","Ошибка!",5279,1,2014-12-05 11:09:34,22,"HOB8",8,"stimulus.ejs"
"77","","62.176.19.146",1417806583389,"15_2_exp","M_Sg","HSElist2","exp","",NA,1,2014-12-05 11:09:44,23,"HOB8",8,"stimulus.ejs"
"78","","62.176.19.146",1417806593748,"16_2_fill","NM_Pauc","HSElist2","fill","Ошибка!",4089,1,2014-12-05 11:09:54,24,"HOB8",8,"stimulus.ejs"
"79","","62.176.19.146",1417806604810,"17_2_exp","NM_Pl","HSElist2","exp","Ошибка!",5478,1,2014-12-05 11:10:05,25,"HOB8",8,"stimulus.ejs"
"80","","62.176.19.146",1417806614056,"18_2_fill","M_Pl","HSElist2","fill","",NA,1,2014-12-05 11:10:14,26,"HOB8",8,"stimulus.ejs"
"81","","62.176.19.146",1417806622706,"19_2_fill","M_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:10:23,27,"HOB8",8,"stimulus.ejs"
"82","","62.176.19.146",1417806633546,"20_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 11:10:34,28,"HOB8",8,"stimulus.ejs"
"83","","62.176.19.146",1417806644140,"21_2_exp","NM_Sg","HSElist2","exp","Ошибка!",5208,1,2014-12-05 11:10:44,29,"HOB8",8,"stimulus.ejs"
"84","","62.176.19.146",1417806653283,"22_2_fill","M_Pl","HSElist2","fill","",NA,1,2014-12-05 11:10:53,30,"HOB8",8,"stimulus.ejs"
"85","","62.176.19.146",1417806665084,"23_2_exp","M_Sg","HSElist2","exp","",NA,1,2014-12-05 11:11:05,31,"HOB8",8,"stimulus.ejs"
"86","","62.176.19.146",1417806674121,"24_2_fill","NM_Pl","HSElist2","fill","Ошибка!",3723,1,2014-12-05 11:11:14,32,"HOB8",8,"stimulus.ejs"
"87","","62.176.19.146",1417806683336,"25_2_fill","NM_Pauc","HSElist2","fill","Ошибка!",4192,1,2014-12-05 11:11:23,33,"HOB8",8,"stimulus.ejs"
"88","","62.176.19.146",1417806694212,"26_2_exp","NM_Pl","HSElist2","exp","Ошибка!",6588,1,2014-12-05 11:11:34,34,"HOB8",8,"stimulus.ejs"
"89","","62.176.19.146",1417806705496,"27_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 11:11:46,35,"HOB8",8,"stimulus.ejs"
"90","","62.176.19.146",1417806715126,"28_2_fill","NM_Pl","HSElist2","fill","Ошибка!",3608,1,2014-12-05 11:11:55,36,"HOB8",8,"stimulus.ejs"
"91","","62.176.19.146",1417806725838,"29_2_exp","NM_Sg","HSElist2","exp","Ошибка!",5273,1,2014-12-05 11:12:06,37,"HOB8",8,"stimulus.ejs"
"92","","62.176.19.146",1417806736492,"30_2_fill","M_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:12:17,38,"HOB8",8,"stimulus.ejs"
"93","","62.176.19.146",1417806745261,"31_2_fill","M_Pl","HSElist2","fill","",NA,1,2014-12-05 11:12:25,39,"HOB8",8,"stimulus.ejs"
"94","","62.176.19.146",1417806756545,"32_2_exp","M_Sg","HSElist2","exp","",NA,1,2014-12-05 11:12:37,40,"HOB8",8,"stimulus.ejs"
"95","","62.176.19.146",1417806817695,"undefined","","HSElist2","","",NA,NA,2014-12-05 11:13:38,1,"RTB9",9,"undefined"
"96","","62.176.19.146",1417806818481,"undefined","","HSElist2","","",NA,NA,2014-12-05 11:13:39,2,"RTB9",9,"undefined"
"97","","62.176.19.146",1417806830645,"undefined","","HSElist2","","",NA,1,2014-12-05 11:13:51,3,"RTB9",9,"undefined"
"98","","62.176.19.146",1417806840121,"undefined","","HSElist2","","",NA,1,2014-12-05 11:14:00,4,"RTB9",9,"undefined"
"99","","62.176.19.146",1417806850344,"undefined","","HSElist2","","",NA,1,2014-12-05 11:14:11,5,"RTB9",9,"undefined"
"100","","62.176.19.146",1417806862457,"undefined","","HSElist2","","",NA,1,2014-12-05 11:14:22,6,"RTB9",9,"undefined"
"101","","62.176.19.146",1417806871955,"undefined","","HSElist2","","",NA,1,2014-12-05 11:14:32,7,"RTB9",9,"undefined"
"102","","62.176.19.146",1417806885595,"1_2_fill","NM_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:14:46,9,"RTB9",9,"stimulus.ejs"
"103","","62.176.19.146",1417806899050,"2_2_exp","NM_Pl","HSElist2","exp","",NA,1,2014-12-05 11:14:59,10,"RTB9",9,"stimulus.ejs"
"104","","62.176.19.146",1417806911417,"3_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 11:15:12,11,"RTB9",9,"stimulus.ejs"
"105","","62.176.19.146",1417806921420,"4_2_fill","NM_Pl","HSElist2","fill","",NA,1,2014-12-05 11:15:22,12,"RTB9",9,"stimulus.ejs"
"106","","62.176.19.146",1417806935199,"5_2_exp","NM_Sg","HSElist2","exp","",NA,1,2014-12-05 11:15:35,13,"RTB9",9,"stimulus.ejs"
"107","","62.176.19.146",1417806945395,"6_2_fill","M_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:15:45,14,"RTB9",9,"stimulus.ejs"
"108","","62.176.19.146",1417806958124,"7_2_fill","M_Pl","HSElist2","fill","",NA,1,2014-12-05 11:15:58,15,"RTB9",9,"stimulus.ejs"
"109","","62.176.19.146",1417806969336,"8_2_exp","M_Sg","HSElist2","exp","",NA,1,2014-12-05 11:16:09,16,"RTB9",9,"stimulus.ejs"
"110","","62.176.19.146",1417806987204,"9_2_exp","NM_Pl","HSElist2","exp","",NA,1,2014-12-05 11:16:27,17,"RTB9",9,"stimulus.ejs"
"111","","62.176.19.146",1417806999731,"10_2_fill","M_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:16:40,18,"RTB9",9,"stimulus.ejs"
"112","","62.176.19.146",1417807011351,"11_2_exp","M_Pl","HSElist2","exp","",NA,1,2014-12-05 11:16:51,19,"RTB9",9,"stimulus.ejs"
"113","","62.176.19.146",1417807022079,"12_2_fill","NM_Pauc","HSElist2","fill","",NA,1,2014-12-05 11:17:02,20,"RTB9",9,"stimulus.ejs"
